settlement,teaor,bin,count,generated_count,diff
Apostag,74,1-4,8,10,2
Apostag,81,1-4,6,8,2
Apostag,85,1-4,5,6,1
Apostag,96,1-4,13,16,3
Apátfalva,1,1-4,117,145,28
Apátfalva,43,1-4,12,15,3
Apátfalva,46,1-4,7,9,2
Apátfalva,47,1-4,23,29,6
Apátfalva,56,1-4,8,10,2
Apátfalva,96,1-4,8,10,2
Aranyosapáti,1,1-4,11,14,3
Aranyosapáti,43,1-4,9,11,2
Aranyosapáti,47,1-4,6,8,2
Aranyosgadány,43,1-4,7,9,2
Arló,2,1-4,6,8,2
Arló,43,1-4,8,10,2
Arló,47,1-4,14,17,3
Arló,96,1-4,5,6,1
Arnót,1,1-4,11,14,3
Arnót,43,1-4,19,24,5
Arnót,45,1-4,7,9,2
Arnót,47,1-4,13,16,3
Arnót,49,1-4,11,14,3
Arnót,62,1-4,5,6,1
Arnót,66,1-4,8,10,2
Arnót,69,1-4,8,10,2
Arnót,70,1-4,5,6,1
Arnót,74,1-4,5,6,1
Arnót,85,1-4,11,14,3
Arnót,86,1-4,8,10,2
Arnót,90,1-4,5,6,1
Arnót,96,1-4,11,14,3
Aszaló,1,1-4,8,10,2
Aszaló,43,1-4,10,12,2
Aszaló,47,1-4,9,11,2
Aszód,1,1-4,9,11,2
Aszód,25,1-4,9,11,2
Aszód,33,1-4,6,8,2
Aszód,41,1-4,11,14,3
Aszód,42,1-4,5,6,1
Aszód,43,1-4,81,101,20
Aszód,43,5-9,7,9,2
Aszód,45,1-4,17,21,4
Aszód,46,1-4,7,9,2
Aszód,47,1-4,54,67,13
Aszód,47,5-9,11,14,3
Aszód,49,1-4,6,8,2
Aszód,53,1-4,7,9,2
Aszód,56,1-4,15,19,4
Aszód,56,5-9,5,6,1
Aszód,62,1-4,20,25,5
Aszód,66,1-4,9,11,2
Aszód,68,1-4,10,12,2
Aszód,69,1-4,29,36,7
Aszód,70,1-4,7,9,2
Aszód,74,1-4,20,25,5
Aszód,81,1-4,5,6,1
Aszód,82,1-4,15,19,4
Aszód,85,1-4,15,19,4
Aszód,86,1-4,18,22,4
Aszód,90,1-4,11,14,3
Aszód,93,1-4,9,11,2
Aszód,96,1-4,52,65,13
Aszófõ,1,1-4,5,6,1
Aszófõ,23,1-4,7,9,2
Aszófõ,25,1-4,23,29,6
Aszófõ,28,1-4,6,8,2
Aszófõ,31,1-4,11,14,3
Aszófõ,32,1-4,18,22,4
Aszófõ,33,1-4,15,19,4
Aszófõ,43,1-4,12,15,3
Aszófõ,47,1-4,5,6,1
Atkár,1,1-4,20,25,5
Atkár,16,1-4,5,6,1
Atkár,43,1-4,24,30,6
Atkár,47,1-4,19,24,5
Atkár,70,1-4,5,6,1
Atkár,74,1-4,5,6,1
Atkár,85,1-4,5,6,1
Atkár,96,1-4,13,16,3
Attala,1,1-4,15,19,4
Attala,43,1-4,7,9,2
Babarc,1,1-4,12,15,3
Babarc,43,1-4,10,12,2
Babosdöbréte,1,1-4,6,8,2
Babócsa,1,1-4,10,12,2
Babót,1,1-4,11,14,3
Badacsonytomaj,1,1-4,27,34,7
Badacsonytomaj,11,1-4,11,14,3
Badacsonytomaj,41,1-4,5,6,1
Badacsonytomaj,43,1-4,26,32,6
Badacsonytomaj,47,1-4,16,20,4
Badacsonytomaj,49,1-4,8,10,2
Badacsonytomaj,55,1-4,19,24,5
Badacsonytomaj,56,1-4,32,40,8
Badacsonytomaj,62,1-4,7,9,2
Badacsonytomaj,68,1-4,8,10,2
Badacsonytomaj,69,1-4,7,9,2
Badacsonytomaj,70,1-4,10,12,2
Badacsonytomaj,73,1-4,5,6,1
Badacsonytomaj,74,1-4,7,9,2
Badacsonytomaj,81,1-4,10,12,2
Badacsonytomaj,82,1-4,9,11,2
Badacsonytomaj,85,1-4,8,10,2
Badacsonytomaj,86,1-4,5,6,1
Badacsonytomaj,94,1-4,6,8,2
Badacsonytomaj,96,1-4,10,12,2
Badacsonytördemic,1,1-4,5,6,1
Badacsonytördemic,43,1-4,8,10,2
Badacsonytördemic,56,1-4,10,12,2
Bag,1,1-4,13,16,3
Bag,16,1-4,6,8,2
Bag,41,1-4,7,9,2
Bag,43,1-4,47,58,11
Bag,43,5-9,8,10,2
Bag,45,1-4,7,9,2
Bag,46,1-4,7,9,2
Bag,47,1-4,27,34,7
Bag,47,5-9,6,8,2
Bag,49,1-4,12,15,3
Bag,56,1-4,7,9,2
Bag,62,1-4,10,12,2
Bag,63,1-4,6,8,2
Bag,66,1-4,7,9,2
Bag,68,1-4,5,6,1
Bag,70,1-4,5,6,1
Bag,74,1-4,6,8,2
Bag,81,1-4,5,6,1
Bag,85,1-4,11,14,3
Bag,90,1-4,7,9,2
Bag,95,1-4,7,9,2
Bag,96,1-4,22,27,5
Bagamér,1,1-4,41,51,10
Bagamér,41,1-4,5,6,1
Bagamér,43,1-4,8,10,2
Bagamér,47,1-4,12,15,3
Bagamér,80,1-4,5,6,1
Bagod,1,1-4,14,17,3
