settlement,teaor,bin,count,generated_count,diff
Budapest 01. kerület,46,5-9,13,16,3
Budapest 01. kerület,47,1-4,211,262,51
Budapest 01. kerület,47,10-19,6,8,2
Budapest 01. kerület,47,20-49,9,11,2
Budapest 01. kerület,47,5-9,31,39,8
Budapest 01. kerület,49,1-4,32,40,8
Budapest 01. kerület,52,1-4,10,12,2
Budapest 01. kerület,53,1-4,45,56,11
Budapest 01. kerület,55,1-4,22,27,5
Budapest 01. kerület,56,1-4,66,82,16
Budapest 01. kerület,56,10-19,20,25,5
Budapest 01. kerület,56,20-49,8,10,2
Budapest 01. kerület,56,5-9,31,39,8
Budapest 01. kerület,58,1-4,21,26,5
Budapest 01. kerület,58,10-19,5,6,1
Budapest 01. kerület,58,5-9,8,10,2
Budapest 01. kerület,59,1-4,144,179,35
Budapest 01. kerület,60,1-4,7,9,2
Budapest 01. kerület,61,1-4,6,8,2
Budapest 01. kerület,62,1-4,187,233,46
Budapest 01. kerület,62,20-49,8,10,2
Budapest 01. kerület,62,5-9,11,14,3
Budapest 01. kerület,63,1-4,44,55,11
Budapest 01. kerület,64,1-4,8,10,2
Budapest 01. kerület,66,1-4,55,68,13
Budapest 01. kerület,68,1-4,292,363,71
Budapest 01. kerület,68,10-19,10,12,2
Budapest 01. kerület,68,5-9,21,26,5
Budapest 01. kerület,69,1-4,386,480,94
Budapest 01. kerület,69,10-19,9,11,2
Budapest 01. kerület,69,5-9,21,26,5
Budapest 01. kerület,70,1-4,454,564,110
Budapest 01. kerület,70,10-19,9,11,2
Budapest 01. kerület,70,5-9,22,27,5
Budapest 01. kerület,71,1-4,208,259,51
Budapest 01. kerület,71,10-19,7,9,2
Budapest 01. kerület,71,5-9,16,20,4
Budapest 01. kerület,72,1-4,37,46,9
Budapest 01. kerület,73,1-4,77,96,19
Budapest 01. kerület,73,5-9,12,15,3
Budapest 01. kerület,74,1-4,218,271,53
Budapest 01. kerület,75,1-4,6,8,2
Budapest 01. kerület,77,1-4,20,25,5
Budapest 01. kerület,78,1-4,10,12,2
Budapest 01. kerület,79,1-4,27,34,7
Budapest 01. kerület,80,1-4,8,10,2
Budapest 01. kerület,81,1-4,45,56,11
Budapest 01. kerület,82,1-4,115,143,28
Budapest 01. kerület,82,5-9,10,12,2
Budapest 01. kerület,84,50-249,7,9,2
Budapest 01. kerület,85,1-4,214,266,52
Budapest 01. kerület,85,10-19,5,6,1
Budapest 01. kerület,85,5-9,6,8,2
Budapest 01. kerület,85,50-249,5,6,1
Budapest 01. kerület,86,1-4,296,368,72
Budapest 01. kerület,86,10-19,9,11,2
Budapest 01. kerület,86,20-49,6,8,2
Budapest 01. kerület,86,5-9,15,19,4
Budapest 01. kerület,88,1-4,7,9,2
Budapest 01. kerület,90,1-4,236,293,57
Budapest 01. kerület,90,5-9,6,8,2
Budapest 01. kerület,91,1-4,6,8,2
Budapest 01. kerület,93,1-4,44,55,11
Budapest 01. kerület,94,1-4,34,42,8
Budapest 01. kerület,94,5-9,15,19,4
Budapest 01. kerület,95,1-4,17,21,4
Budapest 01. kerület,96,1-4,147,183,36
Budapest 02. kerület,1,1-4,79,98,19
Budapest 02. kerület,10,1-4,22,27,5
Budapest 02. kerület,10,20-49,6,8,2
Budapest 02. kerület,10,5-9,5,6,1
Budapest 02. kerület,11,1-4,12,15,3
Budapest 02. kerület,13,1-4,13,16,3
Budapest 02. kerület,14,1-4,23,29,6
Budapest 02. kerület,15,1-4,5,6,1
Budapest 02. kerület,16,1-4,9,11,2
Budapest 02. kerület,17,1-4,5,6,1
Budapest 02. kerület,18,1-4,43,54,11
Budapest 02. kerület,2,1-4,10,12,2
Budapest 02. kerület,20,1-4,9,11,2
Budapest 02. kerület,22,1-4,7,9,2
Budapest 02. kerület,23,1-4,12,15,3
Budapest 02. kerület,25,1-4,38,47,9
Budapest 02. kerület,25,20-49,6,8,2
Budapest 02. kerület,26,1-4,18,22,4
Budapest 02. kerület,27,1-4,8,10,2
Budapest 02. kerület,28,1-4,13,16,3
Budapest 02. kerület,30,1-4,5,6,1
Budapest 02. kerület,31,1-4,22,27,5
Budapest 02. kerület,32,1-4,76,95,19
Budapest 02. kerület,32,5-9,6,8,2
Budapest 02. kerület,33,1-4,31,39,8
Budapest 02. kerület,35,1-4,13,16,3
Budapest 02. kerület,38,1-4,5,6,1
Budapest 02. kerület,41,1-4,232,288,56
Budapest 02. kerület,41,10-19,15,19,4
Budapest 02. kerület,41,20-49,6,8,2
Budapest 02. kerület,41,5-9,34,42,8
Budapest 02. kerület,42,1-4,24,30,6
Budapest 02. kerület,42,10-19,7,9,2
Budapest 02. kerület,43,1-4,293,364,71
Budapest 02. kerület,43,10-19,14,17,3
Budapest 02. kerület,43,5-9,28,35,7
Budapest 02. kerület,45,1-4,148,184,36
Budapest 02. kerület,45,10-19,8,10,2
Budapest 02. kerület,45,5-9,15,19,4
Budapest 02. kerület,46,1-4,421,523,102
Budapest 02. kerület,46,10-19,33,41,8
Budapest 02. kerület,46,20-49,25,31,6
Budapest 02. kerület,46,5-9,52,65,13
Budapest 02. kerület,46,50-249,8,10,2
Budapest 02. kerület,47,1-4,613,762,149
Budapest 02. kerület,47,10-19,49,61,12
Budapest 02. kerület,47,20-49,10,12,2
Budapest 02. kerület,47,5-9,106,132,26
Budapest 02. kerület,47,50-249,5,6,1
Budapest 02. kerület,49,1-4,120,149,29
Budapest 02. kerület,49,5-9,6,8,2
Budapest 02. kerület,52,1-4,39,49,10
Budapest 02. kerület,52,5-9,7,9,2
Budapest 02. kerület,53,1-4,141,175,34
Budapest 02. kerület,55,1-4,73,91,18
Budapest 02. kerület,55,20-49,11,14,3
Budapest 02. kerület,55,5-9,9,11,2
Budapest 02. kerület,55,50-249,6,8,2
Budapest 02. kerület,56,1-4,193,240,47
Budapest 02. kerület,56,10-19,46,57,11
Budapest 02. kerület,56,20-49,24,30,6
Budapest 02. kerület,56,5-9,65,81,16
Budapest 02. kerület,58,1-4,94,117,23
Budapest 02. kerület,58,5-9,11,14,3
Budapest 02. kerület,59,1-4,486,604,118
Budapest 02. kerület,59,10-19,5,6,1
Budapest 02. kerület,59,5-9,10,12,2
Budapest 02. kerület,60,1-4,17,21,4
Budapest 02. kerület,62,1-4,667,829,162
Budapest 02. kerület,62,10-19,20,25,5
Budapest 02. kerület,62,20-49,17,21,4
Budapest 02. kerület,62,5-9,36,45,9
Budapest 02. kerület,62,50-249,11,14,3
Budapest 02. kerület,63,1-4,161,200,39
Budapest 02. kerület,63,5-9,5,6,1
Budapest 02. kerület,64,1-4,18,22,4
Budapest 02. kerület,64,10-19,9,11,2
Budapest 02. kerület,64,5-9,15,19,4
Budapest 02. kerület,66,1-4,228,283,55
Budapest 02. kerület,66,10-19,6,8,2
Budapest 02. kerület,66,20-49,6,8,2
Budapest 02. kerület,66,5-9,9,11,2
Budapest 02. kerület,68,1-4,1068,1328,260
Budapest 02. kerület,68,10-19,26,32,6
Budapest 02. kerület,68,20-49,10,12,2
Budapest 02. kerület,68,5-9,46,57,11
Budapest 02. kerület,69,1-4,1056,1313,257
Budapest 02. kerület,69,10-19,16,20,4
Budapest 02. kerület,69,20-49,6,8,2
Budapest 02. kerület,69,5-9,44,55,11
Budapest 02. kerület,70,1-4,1628,2024,396
Budapest 02. kerület,70,10-19,26,32,6
Budapest 02. kerület,70,20-49,11,14,3
Budapest 02. kerület,70,5-9,40,50,10
Budapest 02. kerület,70,50-249,7,9,2
Budapest 02. kerület,71,1-4,695,864,169
Budapest 02. kerület,71,10-19,19,24,5
Budapest 02. kerület,71,20-49,9,11,2
Budapest 02. kerület,71,5-9,40,50,10
Budapest 02. kerület,72,1-4,163,203,40
Budapest 02. kerület,72,5-9,6,8,2
Budapest 02. kerület,73,1-4,227,282,55
Budapest 02. kerület,73,10-19,8,10,2
Budapest 02. kerület,73,20-49,8,10,2
Budapest 02. kerület,73,5-9,24,30,6
Budapest 02. kerület,73,50-249,6,8,2
Budapest 02. kerület,74,1-4,802,997,195
Budapest 02. kerület,74,10-19,6,8,2
Budapest 02. kerület,74,5-9,16,20,4
Budapest 02. kerület,75,1-4,13,16,3
Budapest 02. kerület,77,1-4,56,70,14
Budapest 02. kerület,78,1-4,26,32,6
Budapest 02. kerület,79,1-4,94,117,23
Budapest 02. kerület,80,1-4,31,39,8
Budapest 02. kerület,80,5-9,5,6,1
Budapest 02. kerület,81,1-4,188,234,46
Budapest 02. kerület,81,10-19,6,8,2
Budapest 02. kerület,81,20-49,7,9,2
Budapest 02. kerület,81,5-9,13,16,3
Budapest 02. kerület,82,1-4,433,538,105
Budapest 02. kerület,82,10-19,11,14,3
Budapest 02. kerület,82,20-49,6,8,2
Budapest 02. kerület,82,5-9,18,22,4
Budapest 02. kerület,84,1-4,5,6,1
Budapest 02. kerület,84,250-1000,7,9,2
Budapest 02. kerület,85,1-4,790,982,192
Budapest 02. kerület,85,10-19,15,19,4
Budapest 02. kerület,85,20-49,21,26,5
Budapest 02. kerület,85,5-9,25,31,6
Budapest 02. kerület,85,50-249,5,6,1
Budapest 02. kerület,86,1-4,1071,1332,261
Budapest 02. kerület,86,10-19,19,24,5
Budapest 02. kerület,86,20-49,9,11,2
Budapest 02. kerület,86,5-9,41,51,10
Budapest 02. kerület,87,50-249,5,6,1
Budapest 02. kerület,88,1-4,32,40,8
Budapest 02. kerület,88,20-49,5,6,1
Budapest 02. kerület,90,1-4,721,896,175
Budapest 02. kerület,90,5-9,6,8,2
Budapest 02. kerület,91,1-4,9,11,2
Budapest 02. kerület,93,1-4,144,179,35
Budapest 02. kerület,93,10-19,6,8,2
Budapest 02. kerület,93,20-49,5,6,1
Budapest 02. kerület,93,5-9,9,11,2
Budapest 02. kerület,94,1-4,61,76,15
Budapest 02. kerület,94,10-19,9,11,2
Budapest 02. kerület,94,5-9,9,11,2
Budapest 02. kerület,95,1-4,71,88,17
Budapest 02. kerület,96,1-4,529,658,129
Budapest 02. kerület,96,10-19,5,6,1
Budapest 02. kerület,96,5-9,11,14,3
Budapest 03. kerület,1,1-4,59,73,14
Budapest 03. kerület,10,1-4,40,50,10
Budapest 03. kerület,10,10-19,5,6,1
Budapest 03. kerület,10,20-49,6,8,2
Budapest 03. kerület,10,5-9,14,17,3
Budapest 03. kerület,10,50-249,7,9,2
Budapest 03. kerület,11,1-4,5,6,1
Budapest 03. kerület,13,1-4,16,20,4
Budapest 03. kerület,14,1-4,44,55,11
Budapest 03. kerület,15,1-4,7,9,2
Budapest 03. kerület,16,1-4,19,24,5
Budapest 03. kerület,17,1-4,8,10,2
Budapest 03. kerület,18,1-4,80,99,19
Budapest 03. kerület,18,10-19,6,8,2
Budapest 03. kerület,18,20-49,6,8,2
Budapest 03. kerület,18,5-9,8,10,2
Budapest 03. kerület,2,1-4,12,15,3
Budapest 03. kerület,20,1-4,13,16,3
Budapest 03. kerület,22,1-4,11,14,3
Budapest 03. kerület,23,1-4,16,20,4
Budapest 03. kerület,25,1-4,59,73,14
Budapest 03. kerület,25,20-49,9,11,2
Budapest 03. kerület,25,5-9,12,15,3
Budapest 03. kerület,26,1-4,30,37,7
Budapest 03. kerület,26,5-9,5,6,1
Budapest 03. kerület,27,1-4,8,10,2
Budapest 03. kerület,28,1-4,28,35,7
Budapest 03. kerület,28,5-9,6,8,2
Budapest 03. kerület,31,1-4,31,39,8
Budapest 03. kerület,32,1-4,85,106,21
Budapest 03. kerület,33,1-4,62,77,15
Budapest 03. kerület,33,10-19,6,8,2
Budapest 03. kerület,33,5-9,9,11,2
Budapest 03. kerület,35,1-4,17,21,4
Budapest 03. kerület,41,1-4,227,282,55
Budapest 03. kerület,41,10-19,34,42,8
Budapest 03. kerület,41,20-49,20,25,5
Budapest 03. kerület,41,5-9,45,56,11
Budapest 03. kerület,41,50-249,7,9,2
Budapest 03. kerület,42,1-4,53,66,13
Budapest 03. kerület,42,10-19,8,10,2
Budapest 03. kerület,42,20-49,5,6,1
Budapest 03. kerület,42,5-9,11,14,3
Budapest 03. kerület,43,1-4,737,916,179
Budapest 03. kerület,43,10-19,22,27,5
Budapest 03. kerület,43,20-49,11,14,3
Budapest 03. kerület,43,5-9,54,67,13
Budapest 03. kerület,43,50-249,10,12,2
Budapest 03. kerület,45,1-4,210,261,51
Budapest 03. kerület,45,10-19,8,10,2
Budapest 03. kerület,45,20-49,5,6,1
Budapest 03. kerület,45,5-9,33,41,8
Budapest 03. kerület,45,50-249,5,6,1
Budapest 03. kerület,46,1-4,490,609,119
Budapest 03. kerület,46,10-19,70,87,17
Budapest 03. kerület,46,20-49,35,44,9
Budapest 03. kerület,46,5-9,104,129,25
Budapest 03. kerület,46,50-249,12,15,3
Budapest 03. kerület,47,1-4,906,1126,220
Budapest 03. kerület,47,10-19,48,60,12
Budapest 03. kerület,47,20-49,20,25,5
Budapest 03. kerület,47,5-9,116,144,28
Budapest 03. kerület,47,50-249,7,9,2
Budapest 03. kerület,49,1-4,377,469,92
Budapest 03. kerület,49,10-19,9,11,2
Budapest 03. kerület,49,20-49,11,14,3
Budapest 03. kerület,49,5-9,22,27,5
Budapest 03. kerület,52,1-4,62,77,15
Budapest 03. kerület,52,10-19,8,10,2
Budapest 03. kerület,52,20-49,5,6,1
Budapest 03. kerület,52,5-9,11,14,3
Budapest 03. kerület,53,1-4,396,492,96
Budapest 03. kerület,55,1-4,45,56,11
Budapest 03. kerület,55,50-249,6,8,2
Budapest 03. kerület,56,1-4,286,356,70
Budapest 03. kerület,56,10-19,33,41,8
Budapest 03. kerület,56,20-49,17,21,4
Budapest 03. kerület,56,5-9,67,83,16
Budapest 03. kerület,58,1-4,83,103,20
Budapest 03. kerület,58,10-19,11,14,3
Budapest 03. kerület,58,5-9,9,11,2
Budapest 03. kerület,59,1-4,390,485,95
Budapest 03. kerület,59,10-19,9,11,2
Budapest 03. kerület,59,5-9,12,15,3
Budapest 03. kerület,60,1-4,10,12,2
Budapest 03. kerület,61,1-4,12,15,3
Budapest 03. kerület,62,1-4,879,1093,214
Budapest 03. kerület,62,10-19,35,44,9
Budapest 03. kerület,62,20-49,29,36,7
Budapest 03. kerület,62,5-9,44,55,11
Budapest 03. kerület,62,50-249,9,11,2
Budapest 03. kerület,63,1-4,191,237,46
Budapest 03. kerület,64,1-4,17,21,4
Budapest 03. kerület,64,5-9,6,8,2
Budapest 03. kerület,66,1-4,431,536,105
Budapest 03. kerület,66,5-9,11,14,3
Budapest 03. kerület,68,1-4,906,1126,220
Budapest 03. kerület,68,10-19,26,32,6
Budapest 03. kerület,68,20-49,8,10,2
Budapest 03. kerület,68,5-9,50,62,12
Budapest 03. kerület,69,1-4,946,1176,230
Budapest 03. kerület,69,10-19,10,12,2
Budapest 03. kerület,69,5-9,44,55,11
Budapest 03. kerület,70,1-4,1318,1639,321
Budapest 03. kerület,70,10-19,18,22,4
Budapest 03. kerület,70,20-49,13,16,3
Budapest 03. kerület,70,5-9,39,49,10
Budapest 03. kerület,70,50-249,7,9,2
Budapest 03. kerület,71,1-4,572,711,139
Budapest 03. kerület,71,10-19,26,32,6
Budapest 03. kerület,71,20-49,10,12,2
Budapest 03. kerület,71,5-9,38,47,9
Budapest 03. kerület,71,50-249,9,11,2
Budapest 03. kerület,72,1-4,103,128,25
Budapest 03. kerület,72,10-19,6,8,2
Budapest 03. kerület,72,20-49,5,6,1
Budapest 03. kerület,72,5-9,14,17,3
Budapest 03. kerület,72,50-249,5,6,1
Budapest 03. kerület,73,1-4,285,354,69
Budapest 03. kerület,73,10-19,10,12,2
Budapest 03. kerület,73,20-49,9,11,2
Budapest 03. kerület,73,5-9,22,27,5
Budapest 03. kerület,74,1-4,662,823,161
Budapest 03. kerület,74,5-9,12,15,3
Budapest 03. kerület,75,1-4,27,34,7
Budapest 03. kerület,77,1-4,87,108,21
Budapest 03. kerület,77,10-19,8,10,2
Budapest 03. kerület,77,5-9,8,10,2
Budapest 03. kerület,78,1-4,17,21,4
Budapest 03. kerület,79,1-4,69,86,17
Budapest 03. kerület,79,5-9,6,8,2
Budapest 03. kerület,80,1-4,54,67,13
Budapest 03. kerület,80,10-19,8,10,2
Budapest 03. kerület,80,20-49,6,8,2
Budapest 03. kerület,80,5-9,12,15,3
Budapest 03. kerület,80,50-249,13,16,3
Budapest 03. kerület,81,1-4,373,464,91
Budapest 03. kerület,81,10-19,13,16,3
Budapest 03. kerület,81,20-49,7,9,2
Budapest 03. kerület,81,5-9,20,25,5
Budapest 03. kerület,82,1-4,542,674,132
Budapest 03. kerület,82,10-19,8,10,2
Budapest 03. kerület,82,20-49,9,11,2
Budapest 03. kerület,82,5-9,21,26,5
Budapest 03. kerület,84,50-249,5,6,1
Budapest 03. kerület,85,1-4,835,1038,203
Budapest 03. kerület,85,10-19,14,17,3
Budapest 03. kerület,85,20-49,6,8,2
Budapest 03. kerület,85,5-9,20,25,5
Budapest 03. kerület,85,50-249,21,26,5
Budapest 03. kerület,86,1-4,736,915,179
Budapest 03. kerület,86,10-19,13,16,3
Budapest 03. kerület,86,20-49,5,6,1
Budapest 03. kerület,86,5-9,23,29,6
Budapest 03. kerület,88,1-4,33,41,8
Budapest 03. kerület,88,5-9,7,9,2
Budapest 03. kerület,90,1-4,563,700,137
Budapest 03. kerület,90,20-49,5,6,1
Budapest 03. kerület,91,1-4,8,10,2
Budapest 03. kerület,92,1-4,10,12,2
Budapest 03. kerület,93,1-4,181,225,44
Budapest 03. kerület,93,10-19,9,11,2
Budapest 03. kerület,93,5-9,11,14,3
Budapest 03. kerület,94,1-4,54,67,13
Budapest 03. kerület,94,10-19,9,11,2
Budapest 03. kerület,94,20-49,7,9,2
Budapest 03. kerület,94,5-9,7,9,2
Budapest 03. kerület,95,1-4,125,155,30
Budapest 03. kerület,96,1-4,1046,1300,254
Budapest 03. kerület,96,10-19,5,6,1
Budapest 04. kerület,1,1-4,29,36,7
Budapest 04. kerület,10,1-4,10,12,2
Budapest 04. kerület,10,5-9,6,8,2
Budapest 04. kerület,13,1-4,18,22,4
Budapest 04. kerület,14,1-4,23,29,6
Budapest 04. kerület,15,1-4,7,9,2
Budapest 04. kerület,16,1-4,7,9,2
Budapest 04. kerület,17,1-4,6,8,2
Budapest 04. kerület,18,1-4,50,62,12
Budapest 04. kerület,18,10-19,6,8,2
Budapest 04. kerület,18,5-9,5,6,1
Budapest 04. kerület,20,1-4,6,8,2
Budapest 04. kerület,23,1-4,8,10,2
Budapest 04. kerület,25,1-4,45,56,11
Budapest 04. kerület,25,5-9,8,10,2
Budapest 04. kerület,26,1-4,9,11,2
Budapest 04. kerület,28,1-4,9,11,2
Budapest 04. kerület,28,20-49,5,6,1
Budapest 04. kerület,31,1-4,33,41,8
Budapest 04. kerület,32,1-4,56,70,14
Budapest 04. kerület,33,1-4,43,54,11
Budapest 04. kerület,33,5-9,5,6,1
Budapest 04. kerület,37,1-4,5,6,1
Budapest 04. kerület,41,1-4,114,142,28
Budapest 04. kerület,41,10-19,13,16,3
Budapest 04. kerület,41,5-9,11,14,3
Budapest 04. kerület,42,1-4,19,24,5
Budapest 04. kerület,42,5-9,6,8,2
Budapest 04. kerület,43,1-4,572,711,139
Budapest 04. kerület,43,10-19,20,25,5
Budapest 04. kerület,43,20-49,11,14,3
Budapest 04. kerület,43,5-9,35,44,9
Budapest 04. kerület,45,1-4,147,183,36
Budapest 04. kerület,45,10-19,6,8,2
Budapest 04. kerület,45,5-9,18,22,4
Budapest 04. kerület,46,1-4,223,277,54
Budapest 04. kerület,46,10-19,38,47,9
Budapest 04. kerület,46,20-49,32,40,8
Budapest 04. kerület,46,5-9,62,77,15
Budapest 04. kerület,46,50-249,5,6,1
Budapest 04. kerület,47,1-4,572,711,139
Budapest 04. kerület,47,10-19,24,30,6
Budapest 04. kerület,47,20-49,5,6,1
Budapest 04. kerület,47,5-9,70,87,17
Budapest 04. kerület,49,1-4,276,343,67
Budapest 04. kerület,49,5-9,12,15,3
Budapest 04. kerület,52,1-4,42,52,10
Budapest 04. kerület,52,5-9,7,9,2
Budapest 04. kerület,53,1-4,305,379,74
Budapest 04. kerület,55,1-4,14,17,3
Budapest 04. kerület,56,1-4,116,144,28
Budapest 04. kerület,56,10-19,18,22,4
Budapest 04. kerület,56,20-49,7,9,2
Budapest 04. kerület,56,5-9,35,44,9
Budapest 04. kerület,58,1-4,34,42,8
Budapest 04. kerület,59,1-4,127,158,31
Budapest 04. kerület,61,1-4,16,20,4
Budapest 04. kerület,62,1-4,454,564,110
Budapest 04. kerület,62,10-19,5,6,1
Budapest 04. kerület,62,5-9,17,21,4
Budapest 04. kerület,63,1-4,99,123,24
Budapest 04. kerület,66,1-4,264,328,64
Budapest 04. kerület,68,1-4,394,490,96
Budapest 04. kerület,68,10-19,5,6,1
Budapest 04. kerület,68,20-49,7,9,2
Budapest 04. kerület,68,5-9,15,19,4
Budapest 04. kerület,69,1-4,420,522,102
Budapest 04. kerület,69,10-19,14,17,3
Budapest 04. kerület,69,5-9,22,27,5
Budapest 04. kerület,70,1-4,476,592,116
Budapest 04. kerület,70,20-49,6,8,2
Budapest 04. kerület,70,5-9,7,9,2
Budapest 04. kerület,71,1-4,220,274,54
Budapest 04. kerület,71,10-19,10,12,2
Budapest 04. kerület,71,5-9,18,22,4
Budapest 04. kerület,72,1-4,28,35,7
Budapest 04. kerület,72,5-9,6,8,2
Budapest 04. kerület,73,1-4,99,123,24
Budapest 04. kerület,74,1-4,373,464,91
Budapest 04. kerület,75,1-4,12,15,3
Budapest 04. kerület,77,1-4,43,54,11
Budapest 04. kerület,78,1-4,6,8,2
Budapest 04. kerület,79,1-4,35,44,9
Budapest 04. kerület,80,1-4,33,41,8
Budapest 04. kerület,80,20-49,9,11,2
Budapest 04. kerület,80,5-9,10,12,2
Budapest 04. kerület,81,1-4,268,333,65
Budapest 04. kerület,81,10-19,6,8,2
Budapest 04. kerület,81,20-49,6,8,2
Budapest 04. kerület,81,5-9,18,22,4
Budapest 04. kerület,82,1-4,311,387,76
Budapest 04. kerület,82,5-9,10,12,2
Budapest 04. kerület,85,1-4,462,574,112
Budapest 04. kerület,85,20-49,17,21,4
Budapest 04. kerület,85,5-9,5,6,1
Budapest 04. kerület,85,50-249,7,9,2
Budapest 04. kerület,86,1-4,273,339,66
Budapest 04. kerület,86,10-19,7,9,2
Budapest 04. kerület,86,5-9,12,15,3
Budapest 04. kerület,88,1-4,19,24,5
Budapest 04. kerület,90,1-4,248,308,60
Budapest 04. kerület,92,1-4,8,10,2
Budapest 04. kerület,93,1-4,86,107,21
Budapest 04. kerület,94,1-4,20,25,5
Budapest 04. kerület,95,1-4,78,97,19
Budapest 04. kerület,96,1-4,780,970,190
Budapest 04. kerület,96,5-9,10,12,2
Budapest 05. kerület,1,1-4,21,26,5
Budapest 05. kerület,10,1-4,10,12,2
Budapest 05. kerület,14,1-4,22,27,5
Budapest 05. kerület,14,5-9,5,6,1
Budapest 05. kerület,18,1-4,14,17,3
Budapest 05. kerület,2,1-4,5,6,1
Budapest 05. kerület,22,1-4,6,8,2
Budapest 05. kerület,25,1-4,12,15,3
Budapest 05. kerület,32,1-4,36,45,9
Budapest 05. kerület,33,1-4,13,16,3
Budapest 05. kerület,35,1-4,12,15,3
Budapest 05. kerület,41,1-4,81,101,20
Budapest 05. kerület,41,10-19,16,20,4
Budapest 05. kerület,41,5-9,15,19,4
Budapest 05. kerület,42,1-4,8,10,2
Budapest 05. kerület,42,5-9,7,9,2
Budapest 05. kerület,43,1-4,101,126,25
Budapest 05. kerület,43,10-19,8,10,2
Budapest 05. kerület,43,20-49,6,8,2
Budapest 05. kerület,43,5-9,17,21,4
Budapest 05. kerület,43,50-249,5,6,1
Budapest 05. kerület,45,1-4,50,62,12
Budapest 05. kerület,45,5-9,5,6,1
Budapest 05. kerület,46,1-4,201,250,49
Budapest 05. kerület,46,10-19,18,22,4
Budapest 05. kerület,46,20-49,11,14,3
Budapest 05. kerület,46,5-9,34,42,8
Budapest 05. kerület,47,1-4,375,466,91
Budapest 05. kerület,47,10-19,33,41,8
Budapest 05. kerület,47,20-49,8,10,2
Budapest 05. kerület,47,5-9,57,71,14
Budapest 05. kerület,49,1-4,49,61,12
Budapest 05. kerület,49,5-9,6,8,2
Budapest 05. kerület,50,1-4,5,6,1
Budapest 05. kerület,52,1-4,17,21,4
Budapest 05. kerület,53,1-4,111,138,27
Budapest 05. kerület,55,1-4,75,93,18
Budapest 05. kerület,55,10-19,9,11,2
Budapest 05. kerület,55,20-49,9,11,2
Budapest 05. kerület,55,5-9,7,9,2
Budapest 05. kerület,55,50-249,10,12,2
Budapest 05. kerület,56,1-4,173,215,42
Budapest 05. kerület,56,10-19,77,96,19
Budapest 05. kerület,56,20-49,39,49,10
Budapest 05. kerület,56,5-9,67,83,16
Budapest 05. kerület,56,50-249,12,15,3
Budapest 05. kerület,58,1-4,35,44,9
Budapest 05. kerület,58,5-9,11,14,3
Budapest 05. kerület,59,1-4,116,144,28
Budapest 05. kerület,60,1-4,5,6,1
Budapest 05. kerület,61,1-4,7,9,2
Budapest 05. kerület,62,1-4,209,260,51
Budapest 05. kerület,62,10-19,22,27,5
Budapest 05. kerület,62,20-49,12,15,3
Budapest 05. kerület,62,5-9,35,44,9
Budapest 05. kerület,62,50-249,6,8,2
Budapest 05. kerület,63,1-4,64,80,16
Budapest 05. kerület,63,5-9,5,6,1
Budapest 05. kerület,64,1-4,12,15,3
Budapest 05. kerület,64,10-19,6,8,2
Budapest 05. kerület,64,250-1000,5,6,1
Budapest 05. kerület,64,5-9,7,9,2
Budapest 05. kerület,66,1-4,101,126,25
Budapest 05. kerület,66,10-19,7,9,2
Budapest 05. kerület,66,5-9,11,14,3
Budapest 05. kerület,66,50-249,5,6,1
Budapest 05. kerület,68,1-4,685,852,167
Budapest 05. kerület,68,10-19,15,19,4
Budapest 05. kerület,68,20-49,7,9,2
Budapest 05. kerület,68,5-9,44,55,11
Budapest 05. kerület,68,50-249,5,6,1
Budapest 05. kerület,69,1-4,1041,1294,253
Budapest 05. kerület,69,10-19,15,19,4
Budapest 05. kerület,69,20-49,9,11,2
Budapest 05. kerület,69,5-9,69,86,17
Budapest 05. kerület,70,1-4,525,653,128
Budapest 05. kerület,70,10-19,23,29,6
Budapest 05. kerület,70,20-49,8,10,2
Budapest 05. kerület,70,5-9,40,50,10
Budapest 05. kerület,70,50-249,9,11,2
Budapest 05. kerület,71,1-4,104,129,25
Budapest 05. kerület,71,10-19,14,17,3
Budapest 05. kerület,71,20-49,7,9,2
Budapest 05. kerület,71,5-9,14,17,3
Budapest 05. kerület,72,1-4,36,45,9
Budapest 05. kerület,73,1-4,94,117,23
Budapest 05. kerület,73,10-19,5,6,1
Budapest 05. kerület,73,5-9,12,15,3
Budapest 05. kerület,73,50-249,5,6,1
Budapest 05. kerület,74,1-4,218,271,53
Budapest 05. kerület,74,5-9,9,11,2
Budapest 05. kerület,77,1-4,36,45,9
Budapest 05. kerület,78,1-4,18,22,4
Budapest 05. kerület,78,20-49,7,9,2
Budapest 05. kerület,78,5-9,7,9,2
Budapest 05. kerület,79,1-4,67,83,16
Budapest 05. kerület,79,10-19,5,6,1
Budapest 05. kerület,79,5-9,8,10,2
Budapest 05. kerület,80,1-4,11,14,3
Budapest 05. kerület,80,10-19,9,11,2
Budapest 05. kerület,81,1-4,107,133,26
Budapest 05. kerület,81,20-49,5,6,1
Budapest 05. kerület,81,5-9,5,6,1
Budapest 05. kerület,82,1-4,184,229,45
Budapest 05. kerület,82,10-19,11,14,3
Budapest 05. kerület,82,5-9,10,12,2
Budapest 05. kerület,84,1-4,8,10,2
Budapest 05. kerület,84,250-1000,23,29,6
Budapest 05. kerület,84,50-249,10,12,2
Budapest 05. kerület,85,1-4,186,231,45
Budapest 05. kerület,85,10-19,9,11,2
