teaor_kulcs,teaor_foag,foag_megnevezes,teaor_alag,teaor_megnevezes,company_count_total,company_count_1_4,company_count_5_9,company_count_10_19,company_count_20_49,company_count_50_249,company_count_250_plus,ksh_worker_total,target_avg_size_ksh,census_worker_total_main,ksh_worker_total_main,census_ksh_ratio_main,census_pct_main,ksh_pct_main,adjusted_worker_target_from_census_ratio,target_avg_size_adjusted
Q_87,Q,"Humán-egészségügyi, szociális ellátás",87,"Bentlakásos, nem kórházi ápolás",38,5,0,5,6,22,0,50227,1321.7631578947369,332688.0,290796.0,0.874080219304574,0.0705047619451285,0.0746600392561108,57462.68922543636,1512.1760322483253
Q_88,Q,"Humán-egészségügyi, szociális ellátás",88,Szociális ellátás bentlakás nélkül,1033,915,49,23,25,21,0,56543,54.73668925459826,332688.0,290796.0,0.874080219304574,0.0705047619451285,0.0746600392561108,64688.570626831155,62.62204320119182
R_90,R,"Művészet, szórakoztatás, szabad idő",90,"Alkotó-, művészeti-, szórakoztató tevékenység",16614,16522,70,6,5,11,0,20968,1.262068135307572,84179.0,69248.0,0.822627971346773,0.0178395985300912,0.0177789873258475,25489.04332255083,1.534190641781078
R_91,R,"Művészet, szórakoztatás, szabad idő",91,"Könyvtári, levéltári, múzeumi, egyéb kulturális tevékenység",136,136,0,0,0,0,0,14371,105.66911764705883,84179.0,69248.0,0.822627971346773,0.0178395985300912,0.0177789873258475,17469.6223573244,128.45310556856177
R_92,R,"Művészet, szórakoztatás, szabad idő",92,"Szerencsejáték, fogadás",162,162,0,0,0,0,0,4251,26.24074074074074,84179.0,69248.0,0.822627971346773,0.0178395985300912,0.0177789873258475,5167.585042167282,31.89867309979804
R_93,R,"Művészet, szórakoztatás, szabad idő",93,"Sport-, szórakoztató-, szabadidős tevékenység",8023,7626,273,99,25,0,0,29658,3.696622211142964,84179.0,69248.0,0.822627971346773,0.0178395985300912,0.0177789873258475,36052.74927795748,4.493674345999936
S_94,S,Egyéb szolgáltatás,94,Érdekképviselet,2588,2219,202,105,51,11,0,38144,14.738794435857805,115217.0,66084.0,0.573561193226694,0.0244173133898183,0.0169666502778609,66503.80194903456,25.69698684274906
S_95,S,Egyéb szolgáltatás,95,"Számítógép, személyi-, háztartási cikk javítása",6095,6075,20,0,0,0,0,5785,0.9491386382280558,115217.0,66084.0,0.573561193226694,0.0244173133898183,0.0169666502778609,10086.107756794383,1.6548166951262318
S_96,S,Egyéb szolgáltatás,96,Egyéb személyi szolgáltatás,60127,59843,238,46,0,0,0,22155,0.3684700716816073,115217.0,66084.0,0.573561193226694,0.0244173133898183,0.0169666502778609,38627.09029417106,0.6424250385712086
T_97,T,"Háztartás munkaadói tevékenysége; termék-előállítás, szolgáltatás saját fogyasztásra",97,Háztartási alkalmazottat foglalkoztató magánháztartás,55,55,0,0,0,0,0,0,0.0,,,,,,,
T_98,T,"Háztartás munkaadói tevékenysége; termék-előállítás, szolgáltatás saját fogyasztásra",98,"Háztartás termék-előállítása, szolgáltatása saját fogyasztásra",0,0,0,0,0,0,0,0,,,,,,,,
